author,title,description,url,date
"Cecilia Vega, Mike Levine, Katherine Faulders",Administration releases video from inside crowded detention facilities...,"Administration releases video from inside crowded detention facilities...

 
 
 
 (Second column, 19th story, link)

 

 

 
 Related stories:Biden aims to prevent border crossings from swamping agenda...
Mysterious new system keeps migrants guessing...…",https://abcnews.go.com/Politics/biden-administration-releases-video-inside-crowded-migrant-detention/story?id=76618644,2021-03-23T13:07:38Z
The Associated Press,The Latest: India drugmaker to produce Sputnik V doses,Russia’s sovereign wealth fund announced a manufacturing deal with the Indian pharmaceutical maker Virchow Biotech Private Limited for making 200 million doses of the Sputnik V vaccine each year,https://abcnews.go.com/Business/wireStory/latest-india-drugmaker-produce-sputnik-doses-76601392,2021-03-22T10:37:17Z
BRIAN WITTE Associated Press,Maryland audit faults procurement of 500K virus tests,"Maryland auditors have found Gov. Larry Hogan’s administration failed to follow state procurement regulations when it bought 500,000 COVID-19 tests from a South Korean company last year",https://abcnews.go.com/Health/wireStory/maryland-audit-faults-procurement-500k-virus-tests-76843146,2021-04-02T22:10:46Z
"Ashley Schwartz-Lavares, Erielle Reshef, Allie Yang",Experts urge expectant moms to get vaccine to protect themselves and their babies,There’s no evidence the vaccines are going to cause problems for either the mother or her child.,https://abcnews.go.com/Health/experts-urge-expectant-moms-vaccine-protect-babies/story?id=76757071,2021-03-30T14:19:33Z
ED WHITE Associated Press,"Survivor: Woman with COVID-19 gives birth, gets new lungs",A suburban Detroit woman who was infected with COVID-19 gave birth early then underwent a double lung transplant just weeks later to save her life,https://abcnews.go.com/US/wireStory/survivor-woman-covid-19-birth-lungs-76519315,2021-03-17T20:14:00Z
FRANK JORDANS and GEIR MOULSON Associated Press,Germany looks set to extend virus lockdown measures again,German authorities are expected to extend lockdown measures again and possibly tighten some restrictions as they face a steady rise in new coronavirus infections,https://abcnews.go.com/Business/wireStory/germany-set-extend-virus-lockdown-measures-76608615,2021-03-22T16:24:18Z
TOM KRISHER AP Business Writer,"Delta cancels over 100 flights, opens some middle seats",Delta Air Lines has canceled about 100 flights due to staff shortages while opening up some middle seats a month earlier than expected to carry more passengers,https://abcnews.go.com/Travel/wireStory/delta-cancels-100-flights-opens-middle-seats-76868931,2021-04-04T20:52:30Z
JUSTIN SPIKE Associated Press,"Populist leaders meet, seek 'European renaissance'",Hungarian Prime Minister Viktor Orban has hosted talks with populist politicians from Italy and Poland as they sought to create a new right-wing political force on the European stage,https://abcnews.go.com/International/wireStory/populist-leaders-meet-seek-european-renaissance-76816489,2021-04-01T18:39:03Z
DEE-ANN DURBIN AP Business Writer,Drivers wanted: Record demand at Uber as vaccinations rise,Uber is offering sign-up bonuses and other incentives for drivers as it faces record demand for rides and meal delivery,https://abcnews.go.com/Business/wireStory/drivers-wanted-record-demand-uber-vaccinations-rise-77022053,2021-04-12T15:13:23Z
The Associated Press,Iceland introduces restrictions after UK variant is detected,Iceland’s government has ordered schools closed and halted public gatherings after detecting six coronavirus cases believed to be the variant first found in Britain,https://abcnews.go.com/Health/wireStory/iceland-introduces-restrictions-uk-variant-detected-76676724,2021-03-25T14:25:29Z
The Associated Press,France hit by 3rd virus surge; culture minister in hospital,"France’s high-profile culture minister has been hospitalized for COVID-19, the latest senior official to be infected as the nation faces a third surge of infections",https://abcnews.go.com/Health/wireStory/france-hit-3rd-virus-surge-culture-minister-hospital-76650951,2021-03-24T12:32:47Z
COLLIN BINKLEY AP Education Writer,"Survey: Even as schools reopen, many students learn remotely","A new survey from the Biden administration finds that large numbers of students are not returning to the classroom even as more schools reopen for full-time, in-person learning",https://abcnews.go.com/Politics/wireStory/survey-schools-reopen-students-learn-remotely-76915664,2021-04-07T17:55:01Z
